# Constructed from biom file
#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC10	BC11	BC12	BC13	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	BC34	BC35	BC36	BC37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC48	BC49	BC50	BC51	BC52	BC53	BC54	BC55	BC56	BC57	BC58	BC59	BC60	BC61	BC62	BC63	BC64	BC65	BC66	BC67	BC68	BC69	BC70	BC71	BC72	BC73	BC74	BC75	BC76	BC77	BC78	BC79	BC80	BC81	BC82	BC83	BC84	BC85	BC86	BC87	BC88	BC89	BC90	BC91	BC92	BC93	BC94	BC95	BC96	Taxonomy
FEATURE1	7729.0	4849.0	4690.0	4904.0	3444.0	4989.0	4662.0	3618.0	8090.0	6742.0	6772.0	35.0	6658.0	6610.0	7209.0	8297.0	9082.0	7316.0	5794.0	4679.0	5689.0	6059.0	5959.0	6470.0	6368.0	6575.0	8991.0	7875.0	7857.0	6399.0	6801.0	5301.0	7489.0	8525.0	11166.0	11921.0	12580.0	12795.0	5592.0	7674.0	4422.0	6147.0	5827.0	5883.0	9280.0	7627.0	6736.0	7357.0	7147.0	3616.0	9335.0	7490.0	8835.0	6162.0	5363.0	6014.0	5121.0	4354.0	4880.0	4282.0	9127.0	5111.0	4502.0	5241.0	4334.0	5463.0	6052.0	6676.0	5671.0	6088.0	6026.0	6016.0	5393.0	3977.0	6096.0	6049.0	11077.0	8241.0	5467.0	5085.0	6558.0	5136.0	5818.0	5174.0	7768.0	9333.0	6645.0	5710.0	5895.0	5259.0	5791.0	5711.0	6593.0	5547.0	5874.0	7203.0	Unassigned;Other;Other;Other;Other;Other;Other
FEATURE2	814.0	959.0	840.0	0.0	648.0	320.0	1419.0	918.0	1386.0	679.0	2145.0	2.0	1407.0	1115.0	1556.0	1701.0	1330.0	909.0	1143.0	1546.0	613.0	522.0	782.0	985.0	0.0	506.0	1953.0	1131.0	1613.0	1867.0	2584.0	1134.0	687.0	1939.0	2090.0	3014.0	2848.0	1485.0	614.0	2305.0	323.0	1014.0	598.0	940.0	3973.0	1487.0	1127.0	2690.0	1144.0	572.0	2284.0	2677.0	1837.0	1093.0	920.0	1233.0	407.0	396.0	1563.0	768.0	3461.0	652.0	641.0	1313.0	219.0	953.0	900.0	2194.0	1128.0	1367.0	1964.0	1884.0	986.0	0.0	852.0	624.0	1594.0	1513.0	330.0	1489.0	864.0	646.0	681.0	912.0	1568.0	768.0	849.0	545.0	873.0	431.0	746.0	300.0	302.0	647.0	1297.0	659.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
FEATURE3	1796.0	2929.0	1793.0	0.0	1844.0	350.0	1938.0	1857.0	2491.0	333.0	376.0	9.0	0.0	742.0	651.0	1137.0	659.0	1159.0	3517.0	2562.0	2251.0	352.0	897.0	3028.0	0.0	1419.0	4659.0	2809.0	1715.0	589.0	2307.0	894.0	2881.0	3893.0	6142.0	2367.0	2313.0	3582.0	527.0	724.0	2996.0	3082.0	2492.0	2330.0	699.0	1506.0	1850.0	1044.0	3230.0	377.0	952.0	6251.0	1898.0	648.0	1865.0	401.0	0.0	1692.0	1007.0	556.0	542.0	2774.0	2899.0	364.0	228.0	1903.0	969.0	868.0	4214.0	2085.0	713.0	741.0	957.0	0.0	3350.0	1458.0	1472.0	666.0	3080.0	1867.0	2785.0	462.0	916.0	263.0	0.0	858.0	1008.0	587.0	611.0	326.0	1154.0	325.0	329.0	611.0	1115.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri
FEATURE4	16527.0	2721.0	4323.0	0.0	2535.0	8736.0	1644.0	5151.0	2999.0	11565.0	2519.0	6.0	0.0	3965.0	1143.0	6505.0	10056.0	1595.0	3354.0	1458.0	4875.0	4835.0	4513.0	452.0	19073.0	3715.0	7580.0	1863.0	2579.0	6822.0	1824.0	2644.0	14273.0	6988.0	3311.0	3188.0	11312.0	5526.0	211.0	8968.0	1190.0	3575.0	1952.0	7169.0	5084.0	2302.0	1569.0	1115.0	3978.0	7374.0	1971.0	1752.0	3461.0	8938.0	5732.0	3863.0	10270.0	2889.0	1279.0	6411.0	10773.0	903.0	5777.0	7178.0	9414.0	2159.0	4237.0	2603.0	2192.0	2887.0	1173.0	6042.0	3934.0	8871.0	6948.0	352.0	1050.0	4706.0	9025.0	2227.0	630.0	977.0	1005.0	665.0	1164.0	4316.0	554.0	1183.0	2032.0	183.0	4199.0	410.0	8938.0	715.0	3500.0	7150.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
FEATURE5	368.0	242.0	702.0	0.0	499.0	526.0	768.0	276.0	1143.0	0.0	903.0	1.0	1447.0	1069.0	1002.0	642.0	851.0	1207.0	544.0	383.0	380.0	675.0	896.0	942.0	0.0	981.0	0.0	869.0	766.0	580.0	801.0	629.0	349.0	767.0	1220.0	1460.0	1227.0	1649.0	1083.0	697.0	460.0	369.0	1042.0	432.0	518.0	1152.0	1132.0	658.0	852.0	422.0	1284.0	635.0	1581.0	413.0	304.0	1108.0	550.0	325.0	601.0	273.0	653.0	758.0	187.0	361.0	482.0	512.0	734.0	756.0	410.0	673.0	1019.0	419.0	514.0	308.0	357.0	1084.0	1336.0	1143.0	337.0	496.0	467.0	801.0	1011.0	750.0	356.0	447.0	1001.0	778.0	577.0	1037.0	518.0	1681.0	0.0	578.0	371.0	716.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
FEATURE6	453.0	299.0	760.0	0.0	297.0	0.0	536.0	413.0	954.0	0.0	446.0	2.0	698.0	696.0	1150.0	822.0	911.0	380.0	721.0	481.0	351.0	325.0	479.0	661.0	0.0	617.0	567.0	564.0	622.0	568.0	724.0	638.0	421.0	885.0	1039.0	1038.0	1463.0	1399.0	289.0	1032.0	293.0	445.0	661.0	394.0	652.0	546.0	1003.0	765.0	648.0	418.0	1559.0	703.0	646.0	508.0	505.0	395.0	549.0	277.0	434.0	529.0	412.0	663.0	257.0	369.0	411.0	611.0	420.0	599.0	389.0	627.0	877.0	393.0	433.0	0.0	454.0	532.0	1079.0	907.0	302.0	688.0	283.0	360.0	269.0	507.0	412.0	0.0	352.0	383.0	260.0	0.0	457.0	433.0	369.0	226.0	316.0	510.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
FEATURE7	2449.0	1334.0	2368.0	0.0	1793.0	4777.0	2214.0	1243.0	3835.0	569.0	4971.0	5.0	5644.0	3378.0	1235.0	3124.0	3579.0	4176.0	2077.0	1230.0	1463.0	9257.0	3497.0	2798.0	2006.0	4403.0	1019.0	2677.0	2443.0	1412.0	1732.0	1627.0	638.0	1623.0	3792.0	3768.0	3792.0	4220.0	6093.0	1425.0	1828.0	1800.0	2931.0	963.0	907.0	4018.0	3750.0	1911.0	2473.0	1120.0	5923.0	2349.0	3583.0	630.0	1361.0	4731.0	1622.0	3407.0	2110.0	850.0	2115.0	1984.0	789.0	835.0	2211.0	1181.0	3933.0	1878.0	920.0	2463.0	2598.0	1368.0	1992.0	3415.0	905.0	4045.0	3991.0	2422.0	2040.0	1493.0	3331.0	1989.0	3065.0	2952.0	953.0	418.0	4088.0	3041.0	4181.0	4128.0	2039.0	4365.0	586.0	3994.0	1084.0	2331.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
FEATURE8	631.0	319.0	0.0	0.0	181.0	386.0	183.0	347.0	360.0	0.0	0.0	0.0	391.0	0.0	0.0	434.0	0.0	0.0	462.0	211.0	262.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	433.0	0.0	0.0	0.0	0.0	0.0	179.0	415.0	233.0	0.0	0.0	0.0	339.0	0.0	262.0	0.0	0.0	466.0	0.0	0.0	308.0	0.0	0.0	344.0	291.0	0.0	0.0	223.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
FEATURE9	0.0	867.0	294.0	0.0	416.0	0.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2008.0	0.0	0.0	444.0	656.0	0.0	0.0	0.0	261.0	0.0	0.0	641.0	753.0	0.0	0.0	0.0	0.0	345.0	428.0	491.0	0.0	0.0	457.0	0.0	0.0	367.0	552.0	0.0	0.0	408.0	461.0	401.0	1057.0	0.0	0.0	0.0	1247.0	0.0	536.0	904.0	0.0	0.0	471.0	663.0	0.0	0.0	359.0	533.0	0.0	0.0	0.0	0.0	872.0	0.0	536.0	330.0	0.0	0.0	0.0	0.0	0.0	644.0	0.0	0.0	406.0	440.0	0.0	0.0	0.0	6069.0	2341.0	0.0	0.0	0.0	0.0	0.0	0.0	1361.0	0.0	496.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea
FEATURE10	0.0	318.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	405.0	1.0	0.0	304.0	0.0	0.0	438.0	315.0	380.0	320.0	394.0	0.0	348.0	0.0	0.0	0.0	0.0	372.0	915.0	236.0	897.0	253.0	499.0	0.0	577.0	427.0	539.0	876.0	0.0	535.0	0.0	1114.0	345.0	294.0	1119.0	1211.0	0.0	404.0	504.0	329.0	633.0	290.0	1015.0	402.0	509.0	0.0	0.0	0.0	368.0	388.0	370.0	705.0	230.0	337.0	0.0	507.0	679.0	860.0	695.0	0.0	607.0	0.0	331.0	0.0	0.0	222.0	0.0	341.0	0.0	417.0	401.0	693.0	0.0	537.0	0.0	501.0	1161.0	780.0	429.0	380.0	493.0	809.0	0.0	0.0	1007.0	770.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__
FEATURE11	0.0	289.0	0.0	0.0	451.0	0.0	0.0	0.0	0.0	1613.0	0.0	1.0	0.0	0.0	0.0	633.0	0.0	0.0	0.0	0.0	556.0	0.0	625.0	0.0	644.0	389.0	0.0	0.0	454.0	755.0	0.0	264.0	0.0	498.0	0.0	0.0	0.0	0.0	0.0	354.0	0.0	0.0	0.0	884.0	343.0	0.0	0.0	0.0	0.0	0.0	356.0	0.0	820.0	0.0	799.0	0.0	0.0	0.0	0.0	1036.0	0.0	0.0	0.0	230.0	252.0	0.0	366.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	612.0	392.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	361.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri
FEATURE12	0.0	524.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3052.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342.0	1400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius
FEATURE13	0.0	0.0	202.0	0.0	299.0	0.0	0.0	0.0	296.0	0.0	448.0	0.0	681.0	875.0	1392.0	355.0	456.0	564.0	535.0	0.0	0.0	0.0	349.0	241.0	0.0	288.0	0.0	0.0	787.0	244.0	371.0	439.0	333.0	0.0	559.0	896.0	791.0	627.0	295.0	394.0	0.0	0.0	0.0	0.0	498.0	531.0	425.0	603.0	282.0	186.0	588.0	0.0	735.0	807.0	0.0	472.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.0	0.0	271.0	486.0	500.0	0.0	289.0	435.0	424.0	0.0	0.0	0.0	402.0	999.0	559.0	0.0	221.0	440.0	472.0	508.0	357.0	0.0	0.0	658.0	286.0	658.0	924.0	366.0	809.0	0.0	1136.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
FEATURE14	0.0	0.0	266.0	0.0	185.0	0.0	320.0	0.0	312.0	440.0	489.0	1.0	289.0	0.0	1430.0	410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	275.0	0.0	1020.0	325.0	0.0	246.0	0.0	567.0	316.0	0.0	0.0	0.0	0.0	527.0	0.0	1453.0	0.0	1034.0	0.0	563.0	0.0	0.0	509.0	683.0	0.0	355.0	314.0	0.0	0.0	0.0	429.0	318.0	193.0	478.0	0.0	0.0	609.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__
